ticker,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda,currency,quote_type
5805.T,453127602176,475829960704,24.03242,35.519444,4.6051188,1.89,0.825,29616183,34972000256.0,JPY,EQUITY
6869.T,896502464512,855253123072,25.62434,13.760861,1.7930763,2.86,0.649,615307111,109825998848.0,JPY,EQUITY
4980.T,760831082496,676303929344,28.405254,29.688213,6.957412,1.58,0.627,167510141,45704998912.0,JPY,EQUITY
3778.T,119429111808,141738360832,547.52295,40.161507,3.9677265,0.18,1.371,40023161,7335587840.0,JPY,EQUITY
5101.T,1102025195520,1650287050752,10.452451,13.384937,1.055809,2.4,0.576,157747665,237646004224.0,JPY,EQUITY
6323.T,667365343232,641290010624,35.192978,27.993597,5.1245513,0.51,1.647,173431740,37367001088.0,JPY,EQUITY
4704.T,824411881472,551241711616,24.356861,21.294497,7.219146,3.08,0.439,129767336,85375000576.0,JPY,EQUITY
6890.T,380327165952,586612211712,29.384092,18.449514,1.4645007,1.73,1.072,46838318,55172001792.0,JPY,EQUITY
6674.T,642947547136,773131796480,20.438816,22.621063,1.6291107,1.49,0.697,100319483,87285997568.0,JPY,EQUITY
5333.T,1827767320576,1746379341824,30.864498,31.851442,2.2586346,1.68,0.606,287610909,151747002368.0,JPY,EQUITY
4183.T,763494268928,1484143591424,23.051735,4.634628,0.8990417,3.44,0.762,361502987,161345994752.0,JPY,EQUITY
4385.T,686580039680,798131486720,23.935558,41.33956,5.714356,,1.002,165043279,44403998720.0,JPY,EQUITY
3659.T,1825472380928,956077834240,20.233294,13.792898,1.720245,2.68,0.474,791275365,157089005568.0,JPY,EQUITY
7259.T,1685356544000,2137884590080,10.532513,10.188795,0.76587176,3.11,0.596,724572834,493432012800.0,JPY,EQUITY
6777.T,298478436352,280270340096,38.927574,57.394844,12.032057,0.92,1.185,11760380,11098999808.0,JPY,EQUITY
6481.T,869356535808,900331732992,86.04548,39.64733,3.4388423,2.41,0.716,112073804,46359998464.0,JPY,EQUITY
3088.T,909259767808,788004864000,16.337767,16.454239,1.6729007,2.47,-0.184,397925510,108599001088.0,JPY,EQUITY
8593.T,1823620726784,11435552800768,11.267856,11.571754,0.9162484,4.0,0.224,1435921854,299916984320.0,JPY,EQUITY
6754.T,610265399296,536229183488,52.17201,68.38783,4.5982466,1.1,0.609,127991904,20843999232.0,JPY,EQUITY
6232.T,41196576768,43568644096,,-40.18657,13.8002615,,0.836,19125617,-1642000000.0,JPY,EQUITY
3402.T,1658970832896,2503757791232,21.523054,16.83417,0.92138165,2.18,0.449,1456515217,228835999744.0,JPY,EQUITY
7202.T,1579958140928,2279606321152,11.908832,9.035529,1.0678937,4.0,0.47,687237114,356172988416.0,JPY,EQUITY
4392.T,61204156416,44648685568,79.112686,,9.9600115,0.56,,30374273,945000000.0,JPY,EQUITY
4523.T,1074289573888,1089841201152,27.866814,18.798439,1.1940478,4.02,-0.114,282113856,92416999424.0,JPY,EQUITY
